"2022-01-01","Neujahr"
"2022-01-06","Heilige Drei Könige1"
"2022-01-07","Ende Schulferien  NRW"
"2022-01-14","Neujahrsempfang  der ZHV"
"2022-01-17","Studien-  informationstag"
"2022-01-28","RWTHtransparent"
"2022-02-01","Hochschulsportshow"
"2022-02-04","Vorlesungsende  WS 2021/2022"
"2022-02-13","Lernen. Forschen. Ma- chen. Die Ausstellung.  bis 13. Februar 2022"
"2022-02-28","Rosenmontag"
"2022-03-08","Internationaler   Frauentag2"
"2022-03-19","RWTH  Hallenfußball Cup"
"2022-03-27","Beginn Sommerzeit "
"2022-03-31","Semesterende  WS 2021/2022  RWTH Berufetag"
"2022-04-01","Semesterbeginn  SS 2022"
"2022-04-02","Beginn des Ramadan 8  bis 2. Mai"
"2022-04-04","Vorlesungsbeginn SS 2022"
"2022-04-11","Beginn Schulferien  NRW "
"2022-04-15","Karfreitag"
"2022-04-16","Pessach7 bis 23. April"
"2022-04-17","Ostersonntag"
"2022-04-18","Ostermontag"
"2022-04-22","Ende Schulferien  NRW"
"2022-04-28","Girls’Day  und Boys’Day"
"2022-04-29","RWTH Campuslauf"
"2022-05-01","Tag der Arbeit"
"2022-05-02","Fastenbrechenfest 9   bis 4. Mai"
"2022-05-11","Ehrung Dienstjubilare"
"2022-05-13","100. Kinderuni"
"2022-05-25","Karlspreisträger an  der RWTH Aachen"
"2022-05-26","Christi Himmelfahrt"
"2022-06-01","Talk Lehre RWTH FH Sports Day"
"2022-06-05","Pfingstsonntag"
"2022-06-06","Pfingstmontag"
"2022-06-16","Fronleichnam"
"2022-06-27","Beginn Schulferien  NRW "
"2022-07-06","Lousberglauf"
"2022-07-09","Opferfest 9  bis 11. Juli "
"2022-07-15","Vorlesungsende  SS 2022"
"2022-08-09","Ende Schulferien  NRW"
"2022-08-15","Mariä Himmelfahrt 3"
"2022-09-02","Verleihung des  Aachener  Ingenieurpreises"
"2022-09-03","RWTH   Graduiertenfest"
"2022-09-15","September Special  Studibühne   bis 18. September"
"2022-09-20","Weltkindertag 4"
"2022-09-26","Rosch ha-Schana 7 bis 27. September"
"2022-09-30","Semesterende  SS 2022"
"2022-10-01"," Semesterbeginn WS 2022/2023"
"2022-10-03","Tag der   Deutschen Einheit"
"2022-10-04","Vorlesungsbeginn WS 2022/2023 Beginn Schulferien NRW "
"2022-10-05","Jom Kippur 7"
"2022-10-14","Ende Schulferien  NRW"
"2022-10-30","Beginn Winterzeit"
"2022-10-31","Reformationstag 5"
"2022-11-01","Allerheiligen"
"2022-11-09","Otto-Junker-   Preisverleihung  Jahrgangsbeste 2021"
"2022-11-11","„5 vor 12“ – Die RWTH-  Wissenschaftsnacht"
"2022-11-16","Buß- und Bettag 6"
"2022-11-20","Totensonntag "
"2022-11-25","Bildungsfonds Stipendienfeier  Friedrich-Wilhelm-  Preisverleihung   "
"2022-11-26","Galaball"
"2022-11-27","1. Advent"
"2022-12-04","2. Advent"
"2022-12-06","Nikolaus"
"2022-12-08","Eishockey Uni-Cup"
"2022-12-11","3. Advent"
"2022-12-18","4. Advent"
"2022-12-19","Chanukka 7 bis 26. Dezember"
"2022-12-23","Beginn Schulferien  NRW"
"2022-12-24","Heiligabend"
"2022-12-25","1. Weihnachtstag"
"2022-12-26","2. Weihnachtstag"
"2022-12-31","Silvester"
